label,message
ham,Hey are we still meeting at 6 pm?
ham,Don't forget to bring the documents tomorrow.
spam,WINNER!! You have won a $1000 Walmart gift card. Click here to claim now!
ham,Can you call me when you are free?
spam,URGENT! Your mobile number has won Â£2000. Reply CLAIM now!
ham,I'm running late, will reach in 15 minutes.
spam,Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 87121.
ham,Did you complete the assignment?
spam,You have been selected for a cash prize. Call 09061701461 immediately.
ham,Let's grab lunch tomorrow.
spam,CONGRATULATIONS! You have won a free vacation. Text YES to 54321.
ham,Please send me the report by evening.
spam,Get cheap meds now!!! Limited time offer. Visit www.pharma-deals.com
ham,Thanks for your help yesterday.
spam,You are pre-approved for a loan up to $5000. Apply now!
ham,What time is the meeting scheduled?
spam,Claim your free ringtone by texting TONE to 80085.
ham,See you at the gym later.
spam,Exclusive offer! Buy 1 get 1 free. Shop today.
ham,Can you review the code changes?
spam,Your account has been compromised. Verify immediately at secure-login.com
ham,Happy birthday! Have a great day.
spam,Lowest insurance rates available. Call now!
ham,I'll be there in 10 minutes.
spam,You have won tickets to Bahamas. Reply YES to confirm.
ham,Let's discuss the project timeline.
spam,Hot singles in your area waiting! Sign up now!
ham,Meeting moved to 4 pm.
spam,Act now! Limited time investment opportunity.
ham,Please confirm receipt of this message.
spam,You have been chosen for a free iPhone 15. Click the link below.
ham,Can you send me the location?
spam,Final notice! Your car warranty is expiring.
ham,Good morning! How was your trip?
spam,You have won $10,000 cash prize. Call now to claim.
ham,Let's schedule a call next week.
spam,Cheap flights available. Book now and save 50%.
ham,Thank you for the update.
spam,You are selected for a guaranteed credit card approval.
ham,Are you joining the team dinner?
spam,URGENT: Your bank account requires verification immediately.
ham,Please check the attached file.
spam,Win a brand new car by entering this contest today.
ham,Call me when you reach home.
spam,This is your last chance to claim your lottery winnings.